Route_ID,Direction,Loading_Port,Loading_Country,Loading_Terminal,Discharge_Port,Discharge_Country,Discharge_Refinery_or_Terminal,Chokepoints_Waypoints,Distance_Nautical_Miles,Distance_km,Approx_Voyage_Days_at_14kts,Typical_Vessel_Class,Notes,Bunkering_Port
R16,ME→India,Basra (Khor Al Amaya / ABOT),Iraq,SOMO / ABOT / Khor Al Amaya Offshore Terminal,Vadinar,India,Nayara Energy Vadinar Refinery,Strait of Hormuz → Gulf of Oman → Arabian Sea → Gulf of Kutch,1900,3519,5.7,VLCC / Suezmax,Basra Heavy / Basra Medium for Vadinar; ABOT (Al Basra Oil Terminal) primary offshore berth.,Fujairah
R17,ME→India,Basra (Khor Al Amaya / ABOT),Iraq,SOMO / ABOT / Khor Al Amaya Offshore Terminal,Mumbai (Jawahar Dweep),India,HPCL / BPCL Mumbai,Strait of Hormuz → Gulf of Oman → Arabian Sea,1980,3667,5.9,Suezmax,Iraqi crude for Mumbai refineries.,Fujairah
R18,ME→India,Basra (Khor Al Amaya / ABOT),Iraq,SOMO / ABOT / Khor Al Amaya Offshore Terminal,Kochi (Cochin),India,BPCL Kochi Refinery,Strait of Hormuz → Gulf of Oman → Arabian Sea,2120,3926,6.3,Suezmax,Basra grades for Kochi.,Fujairah
R19,ME→India,Ras Al Khair / Juaymah,Saudi Arabia,Saudi Aramco Juaymah Terminal,Paradip,India,IOC Paradip Refinery,Strait of Hormuz → Gulf of Oman → Arabian Sea → around Sri Lanka → Bay of Bengal,3480,6445,10.4,VLCC (lightering),Arab Heavy / Arab Medium for east coast India refineries.,Fujairah + Singapore
R20,ME→India,Das Island,UAE,ADNOC Das Island Terminal (Upper Zakum crude),Mumbai (Jawahar Dweep),India,HPCL Mumbai,Strait of Hormuz → Gulf of Oman → Arabian Sea,1610,2982,4.8,Suezmax,Upper Zakum crude lifted by SCI for HPCL.,Fujairah
R21,India→ME,Vadinar,India,Nayara Energy Vadinar Refinery (Ballast return),Ras Tanura,Saudi Arabia,Saudi Aramco Ras Tanura,Gulf of Kutch → Arabian Sea → Gulf of Oman → Strait of Hormuz,1650,3056,5.0,VLCC / Suezmax,Return leg in ballast condition; same corridor reverse.,Fujairah
R22,India→ME,Mumbai (Jawahar Dweep),India,BPCL / HPCL Mumbai (Ballast return),Ras Tanura,Saudi Arabia,Saudi Aramco Ras Tanura,Arabian Sea → Gulf of Oman → Strait of Hormuz,1720,3185,5.2,Suezmax,Ballast return from Mumbai to reload Saudi crude.,Fujairah
R23,India→ME,Kochi (Cochin),India,BPCL Kochi (Ballast return),Jebel Dhanna,UAE,ADNOC Jebel Dhanna,Arabian Sea → Gulf of Oman → Strait of Hormuz,1620,3000,4.9,Suezmax,Ballast leg from Kochi returning to UAE loading terminal.,Fujairah
R24,India→ME,Paradip,India,IOC Paradip (Ballast return),Ras Tanura,Saudi Arabia,Saudi Aramco Ras Tanura,Bay of Bengal → around Sri Lanka → Arabian Sea → Gulf of Oman → Strait of Hormuz,3450,6390,10.3,VLCC / Suezmax,Long ballast return from east coast India to Persian Gulf.,Singapore + Fujairah
R25,India→ME,Haldia,India,IOC Haldia (Ballast return),Mina Al Ahmadi,Kuwait,Kuwait Petroleum Corporation,Bay of Bengal → around Sri Lanka → Arabian Sea → Gulf of Oman → Strait of Hormuz,3620,6704,10.8,Aframax / Suezmax,Haldia to Kuwait return leg in ballast.,Singapore + Fujairah
R26,ME→India,Ras Tanura,Saudi Arabia,Ras Tanura Marine Terminal,Chennai (Ennore),India,CPCL Manali Refinery / Chennai Petroleum,Strait of Hormuz → Gulf of Oman → Arabian Sea → around Sri Lanka → Bay of Bengal,3100,5741,9.2,Suezmax / Aframax,CPCL Manali refinery crude supply via Ennore port.,Fujairah + Singapore
R27,ME→India,Mina Saud / Ras Al Zour,Saudi Arabia,Saudi Aramco South Terminal,Vishakhapatnam (Vizag),India,HPCL Vizag,Strait of Hormuz → Gulf of Oman → Arabian Sea → Bay of Bengal,3220,5963,9.6,Suezmax,Southern Saudi terminals to east coast India.,Fujairah + Singapore
R28,ME→India,Lavan Island,Iran,NIOC Lavan Island Terminal,Vadinar,India,Nayara Energy Vadinar Refinery,Strait of Hormuz → Gulf of Oman → Arabian Sea → Gulf of Kutch,1650,3056,5.0,Suezmax / LR2,Lavan Light crude; shorter than Kharg due to location closer to Hormuz.,Fujairah
R29,ME→India,Siri Island,Iran,NIOC Siri Island Terminal,Mumbai (Jawahar Dweep),India,BPCL Mumbai,Strait of Hormuz → Gulf of Oman → Arabian Sea,1700,3148,5.1,Suezmax,Sirri Light crude for Mumbai refinery complex.,Fujairah
R30,ME→India,Ras Tanura,Saudi Arabia,Ras Tanura Marine Terminal,Mangalore (New Mangalore Port),India,MRPL Mangalore Refinery,Strait of Hormuz → Gulf of Oman → Arabian Sea,1820,3371,5.5,Suezmax,MRPL (ONGC subsidiary) receives Saudi crude via New Mangalore Port; SCI operated vessel.,Fujairah
